Date,si_x
2019-11-13,0.0
2019-11-19,-0.143
2019-11-20,0.0
2019-11-21,0.0
2019-11-22,0.0
2019-11-23,0.0
2019-11-24,-0.143
2019-11-25,0.0
2019-11-26,0.0
2019-11-27,0.0
2019-11-28,0.0
2019-11-29,-0.167
2019-11-30,0.0
2019-12-01,0.125
2019-12-02,0.0
2019-12-03,0.0
2019-12-04,-0.056
2019-12-10,0.0
2019-12-11,0.0
2019-12-12,0.143
2019-12-13,-0.067
2019-12-14,-0.118
2019-12-15,0.0
2019-12-17,-0.286
2019-12-18,-0.143
2019-12-19,-0.111
2019-12-20,0.0
2019-12-21,0.0
2019-12-22,-0.375
2019-12-23,-0.182
2019-12-24,0.0
2019-12-31,0.0
2020-01-01,-0.07
2020-01-02,-0.05
2020-01-03,0.0
2020-01-04,-0.118
2020-01-05,-0.214
2020-01-06,0.143
2020-01-07,-0.133
2020-01-08,0.0
2020-01-09,-0.286
2020-01-10,0.0
2020-01-11,0.067
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.05
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,-0.357
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,-0.286
2020-01-23,0.143
2020-01-24,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,-0.048
2020-02-03,0.014
2020-02-04,-0.107
2020-02-05,-0.333
2020-02-06,0.1
2020-02-07,-0.25
2020-02-16,-0.082
2020-02-17,-0.111
2020-02-18,-0.202
2020-02-19,-0.044
2020-02-20,-0.1
2020-02-21,0.0
2020-02-22,-0.062
2020-02-23,0.105
2020-02-24,-0.125
2020-02-25,-0.125
2020-02-26,-0.25
2020-02-27,-0.125
2020-02-28,-0.125
2020-02-29,-0.062
2020-03-01,-0.053
2020-03-08,-0.048
2020-03-09,-0.125
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,-0.125
2020-03-13,0.0
2020-03-14,-0.1
2020-03-15,-0.111
2020-03-16,-0.083
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,-0.125
2020-03-21,-0.083
2020-03-22,-0.25
2020-03-23,-0.25
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,-0.125
2020-03-28,-0.25
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.05
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-09,0.0
2020-04-10,-0.125
2020-04-11,0.0
2020-04-12,-0.462
2020-04-13,-0.05
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.125
2020-04-17,-0.125
2020-04-18,-0.1
2020-04-19,-0.25
2020-04-20,-0.125
2020-04-21,-0.105
2020-04-22,0.0
2020-04-23,0.1
2020-04-24,0.083
2020-04-25,-0.375
2020-04-26,-0.125
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,-0.125
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,-0.167
2020-05-04,0.0
2020-05-05,-0.25
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.125
2020-05-11,0.091
2020-05-12,0.0
2020-05-13,-0.067
2020-05-14,-0.125
2020-05-15,-0.125
2020-05-16,0.0
2020-05-17,-0.182
2020-05-18,-0.1
2020-05-19,-0.125
2020-05-20,-0.182
2020-05-21,0.067
2020-05-22,-0.125
2020-05-23,0.0
2020-05-24,-0.15
2020-05-25,-0.071
2020-05-26,-0.25
2020-05-27,0.0
2020-05-28,-0.091
2020-05-29,-0.25
2020-05-30,-0.4
2020-05-31,-0.056
2020-06-01,-0.125
2020-06-02,0.0
2020-06-03,-0.125
2020-06-04,0.125
2020-06-05,0.0
2020-06-09,-0.167
2020-06-10,-0.4
2020-06-11,-0.5
2020-06-12,0.0
2020-06-13,0.0
2020-06-14,-0.083
2020-06-15,0.0
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,0.0
2020-06-19,0.0
2020-06-20,-0.125
2020-06-21,0.0
2020-06-22,-0.125
2020-06-23,-0.083
2020-06-24,0.056
2020-06-25,-0.182
2020-06-26,0.0
2020-06-27,-0.125
2020-06-28,-0.125
2020-06-29,-0.125
2020-06-30,0.0
2020-07-01,-0.167
2020-07-02,-0.125
2020-07-07,-0.167
2020-07-08,0.0
2020-07-09,-0.091
2020-07-10,0.0
2020-07-11,-0.091
2020-07-12,-0.125
2020-07-13,-0.111
2020-07-14,0.0
2020-07-15,-0.125
2020-07-16,0.0
2020-07-17,0.0
2020-07-18,0.056
2020-07-19,-0.125
2020-07-20,0.143
2020-07-21,-0.125
2020-07-22,0.118
2020-07-23,0.0
2020-07-24,-0.125
2020-07-25,-0.125
2020-07-26,-0.125
2020-07-27,0.0
2020-07-28,0.125
2020-07-29,0.0
2020-07-30,-0.13
2020-07-31,-0.182
2020-08-01,0.0
2020-08-05,-0.125
2020-08-06,-0.214
2020-08-07,-0.1
2020-08-08,0.125
2020-08-09,-0.125
2020-08-10,-0.125
2020-08-11,0.0
2020-08-12,-0.077
2020-08-13,-0.125
2020-08-14,-0.125
2020-08-15,0.0
2020-08-16,-0.111
2020-08-17,-0.211
2020-08-18,0.0
2020-08-19,-0.25
2020-08-20,0.0
2020-08-21,0.0
2020-08-22,0.0
2020-08-23,0.0
2020-08-24,-0.121
