Date,SP_Close,Open,Volume,High,Low,Adj Close,Gdp,Zew,Gfk,Ifo,Interest,Inf,Co_usd,Oil_usd,Gold_usd,Bond_2,Bond_10,Eu_usd,Close,SMA_20,EMA_20,RSI_14,Middle_Band,Upper_Band,Lower_Band,EMA_12,EMA_26,MACD,MACD_Signal,Low_14,High_14,%k,%d,CMF
2020-04-30,3130.010009765625,3143.639892578125,4197720000.0,3165.81005859375,3124.52001953125,3130.010009765625,882.046,28.2,2.3,75.2,0.0,1.0,2.3525,25.27,1680.09,-0.759,-0.586,1.09429,10861.6396484375,10374.506982421875,10484.444356325263,58.63391400912506,10374.506982421875,11236.137214705093,9512.876750138657,10600.87209591498,10484.689480922427,116.18261499255277,5.6069509061415985,10249.849609375,11107.740234375,71.3132911392405,90.4377637130802,291.66973699207927
2020-05-04,3179.719970703125,3155.2900390625,4759160000.0,3182.590087890625,3155.2900390625,3179.719970703125,882.046,28.2,2.3,75.2,0.0,1.0,2.328,27.2,1701.4399,-0.751,-0.56,1.0903,10466.7998046875,10420.60947265625,10482.763922835951,48.481563497083826,10420.60947265625,11188.921928924941,9652.297016387558,10580.24558957229,10483.36431971984,96.88126985245071,23.861814695403424,10249.849609375,11107.740234375,25.28879428103087,65.53402847342385,303.8053590722629
2020-05-05,3145.320068359375,3166.43994140625,4571330000.0,3184.14990234375,3142.929931640625,3145.320068359375,882.046,28.2,2.3,75.2,0.0,1.0,2.338,30.97,1705.9637,-0.789,-0.578,1.08381,10729.4599609375,10478.541455078124,10506.258783607527,50.49018980195692,10478.541455078124,11145.043535513882,9812.039374642367,10603.2016467054,10501.593626476702,101.60802022869757,39.41105580206226,10249.849609375,11107.740234375,55.905769055641564,50.835951491971024,303.45545926640347
2020-05-06,3169.93994140625,3153.070068359375,4937310000.0,3171.800048828125,3136.530029296875,3169.93994140625,882.046,28.2,2.3,75.2,0.0,1.0,2.343,29.72,1685.6268,-0.745,-0.502,1.07941,10606.2001953125,10532.56298828125,10515.777013293715,55.32991330230921,10532.56298828125,11026.78747476709,10038.33850179541,10603.662961875723,10509.34226120528,94.32070067044333,50.392984775738476,10249.849609375,11107.740234375,41.537997450141155,40.91085359560458,301.58254189665786
2020-05-07,3152.050048828125,3176.169921875,4843650000.0,3179.780029296875,3115.699951171875,3152.050048828125,882.046,28.2,2.3,75.2,0.0,1.0,2.383,29.46,1717.6899,-0.766,-0.551,1.08334,10759.26953125,10566.76796875,10538.9667769086,57.1662845891742,10566.76796875,11020.759060733413,10112.776876766588,10627.602434087152,10527.855392319703,99.74704176744854,60.26379617408049,10249.849609375,11107.740234375,59.380520899735906,52.27476246850625,296.98218117607314
2020-05-08,3185.0400390625,3152.469970703125,4524190000.0,3186.820068359375,3136.219970703125,3185.0400390625,882.046,28.2,2.3,75.2,0.0,1.0,2.4095,30.97,1700.65,-0.78,-0.532,1.08403,10904.48046875,10594.156982421875,10573.77760470302,54.622503160883895,10594.156982421875,11060.707748412884,10127.606216430866,10670.199054804514,10555.753546129356,114.44550867515864,71.10013867429612,10249.849609375,11107.740234375,76.30703032510701,59.075182891661406,309.486548021331
2020-05-11,3155.219970703125,3205.080078125,4902440000.0,3235.320068359375,3149.429931640625,3155.219970703125,882.046,28.2,2.3,75.2,0.0,1.0,2.38,29.63,1695.9811,-0.753,-0.52,1.0808,10824.990234375,10618.76201171875,10597.702617052732,52.44893533198931,10618.76201171875,11079.16135850786,10158.362664929642,10694.013082430743,10575.697004517922,118.31607791282113,80.54332652200112,10249.849609375,11107.740234375,67.04125307349058,67.57626809944455,312.803218553842
2020-05-12,3197.52001953125,3141.110107421875,4507140000.0,3200.949951171875,3127.659912109375,3197.52001953125,882.046,28.2,2.3,75.2,0.0,1.0,2.334,29.98,1702.1411,-0.729,-0.507,1.08487,10819.5,10631.5,10618.826177333423,60.857051177535226,10631.5,11099.638118078527,10163.361881921473,10713.318762056782,10593.756485664744,119.56227639203826,88.34711649600855,10336.08984375,11107.740234375,62.646265993393826,68.66484979733052,318.40494284615806
2020-05-13,3226.56005859375,3225.97998046875,4686830000.0,3238.280029296875,3200.760009765625,3226.56005859375,882.046,28.2,2.3,75.2,0.0,1.0,2.3545,29.19,1715.2899,-0.738,-0.526,1.08196,10542.66015625,10623.805029296875,10611.572270563573,52.3332094363114,10623.805029296875,11092.499449385796,10155.110609207954,10687.063591932661,10589.971572374763,97.09201955789831,90.0960971083865,10336.08984375,11107.740234375,26.769935583482035,52.15248488345552,328.84604589259266
2020-05-14,3215.570068359375,3208.360107421875,3972860000.0,3220.389892578125,3198.590087890625,3215.570068359375,882.046,28.2,2.3,75.2,0.0,1.0,2.366,31.13,1732.59998,-0.74,-0.538,1.08074,10337.01953125,10626.668017578126,10585.424390628947,46.88998092544084,10626.668017578126,11087.141121348082,10166.194913808169,10633.210659519944,10571.2343841433,61.97627537664448,84.47213276203811,10336.08984375,11107.740234375,0.12048040295126365,29.84556065994242,337.0356229258997
