Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Germany,ZEW Economic Sentiment Index,2000-12-31T00:00:00,-0.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2001-01-31T00:00:00,-4.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2001-02-28T00:00:00,-6.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2001-03-31T00:00:00,-10.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2001-04-30T00:00:00,-4.5,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2001-05-31T00:00:00,-4.3,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2001-06-30T00:00:00,-8.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2001-07-31T00:00:00,-1.9,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2001-08-31T00:00:00,11.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2001-09-30T00:00:00,13.7,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2001-10-31T00:00:00,9.8,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2001-11-30T00:00:00,13.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2001-12-31T00:00:00,25.8,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2002-01-31T00:00:00,35.9,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2002-02-28T00:00:00,50.2,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2002-03-31T00:00:00,71.2,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2002-04-30T00:00:00,70.6,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2002-05-31T00:00:00,66.3,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2002-06-30T00:00:00,69.6,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2002-07-31T00:00:00,69.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2002-08-31T00:00:00,43.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2002-09-30T00:00:00,39.5,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2002-10-31T00:00:00,23.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2002-11-30T00:00:00,4.2,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2002-12-31T00:00:00,0.6,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2003-01-31T00:00:00,14,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2003-02-28T00:00:00,15,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2003-03-31T00:00:00,17.7,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2003-04-30T00:00:00,18.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2003-05-31T00:00:00,18.7,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2003-06-30T00:00:00,21.3,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2003-07-31T00:00:00,41.9,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2003-08-31T00:00:00,52.5,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2003-09-30T00:00:00,60.9,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2003-10-31T00:00:00,60.3,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2003-11-30T00:00:00,67.2,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2003-12-31T00:00:00,73.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2004-01-31T00:00:00,72.9,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2004-02-29T00:00:00,69.9,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2004-03-31T00:00:00,57.6,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2004-04-30T00:00:00,49.7,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2004-05-31T00:00:00,46.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2004-06-30T00:00:00,47.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2004-07-31T00:00:00,48.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2004-08-31T00:00:00,45.3,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2004-09-30T00:00:00,38.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2004-10-31T00:00:00,31.3,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2004-11-30T00:00:00,13.9,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2004-12-31T00:00:00,14.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2005-01-31T00:00:00,26.9,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2005-02-28T00:00:00,35.9,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2005-03-31T00:00:00,36.3,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2005-04-30T00:00:00,20.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2005-05-31T00:00:00,13.9,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2005-06-30T00:00:00,19.5,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2005-07-31T00:00:00,37,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2005-08-31T00:00:00,50,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2005-09-30T00:00:00,38.6,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2005-10-31T00:00:00,39.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2005-11-30T00:00:00,38.7,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2005-12-31T00:00:00,61.6,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2006-01-31T00:00:00,71,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2006-02-28T00:00:00,69.8,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2006-03-31T00:00:00,63.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2006-04-30T00:00:00,62.7,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2006-05-31T00:00:00,50,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2006-06-30T00:00:00,37.8,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2006-07-31T00:00:00,15.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2006-08-31T00:00:00,-5.6,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2006-09-30T00:00:00,-22.2,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2006-10-31T00:00:00,-27.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2006-11-30T00:00:00,-28.5,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2006-12-31T00:00:00,-19,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2007-01-31T00:00:00,-3.6,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2007-02-28T00:00:00,2.9,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2007-03-31T00:00:00,5.8,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2007-04-30T00:00:00,16.5,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2007-05-31T00:00:00,24,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2007-06-30T00:00:00,20.3,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2007-07-31T00:00:00,10.4,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2007-08-31T00:00:00,-6.9,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2007-09-30T00:00:00,-18.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2007-10-31T00:00:00,-18.1,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2007-11-30T00:00:00,-32.5,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2007-12-31T00:00:00,-37.2,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
Germany,ZEW Economic Sentiment Index,2008-01-31T00:00:00,-41.6,Monthly,GERMANYZEWECOSENIND,2013-11-01T19:13:00
