trial,model,loss,acc,f1,hidden_size,num_layers,sequence_length,batch_size,learning_rate,epochs,mode
56,LSTM,0.6914299130439758,0.5283018867924528,0.3593505075017023,277,1,14,64,0.0128941996693938,18,UP/DOWN
57,LSTM,0.6911270618438721,0.532626427406199,0.3475252794039383,130,2,7,128,0.0375030522429999,63,UP/DOWN
58,LSTM,0.6948962807655334,0.5219917012448133,0.3651072424315602,166,1,28,256,0.0026624786207274,28,UP/DOWN
59,LSTM,0.6891874670982361,0.5291222313371616,0.3640886287625418,206,1,14,128,0.053805518497012,97,UP/DOWN
60,LSTM,0.6910291910171509,0.532953620829943,0.3476645435244161,211,1,4,128,0.0935533556044867,117,UP/DOWN
61,LSTM,0.7063988447189331,0.4987694831829368,0.4899829562690321,204,1,14,128,0.0599956637944893,95,UP/DOWN
62,LSTM,0.7025786638259888,0.5315832649712879,0.3593876692648294,189,1,14,128,0.0174419921656144,102,UP/DOWN
63,LSTM,0.6982672214508057,0.5373256767842494,0.3951543090403631,154,1,14,128,0.0481513566100047,75,UP/DOWN
64,LSTM,0.7017648816108704,0.534864643150123,0.3753548334621172,178,1,14,128,0.0064394746539398,133,UP/DOWN
65,LSTM,0.6964110136032104,0.532626427406199,0.3741035845924801,231,1,7,128,0.0273371047258237,113,UP/DOWN
66,LSTM,0.6957986950874329,0.5340442986054142,0.3735551067972408,141,1,14,128,0.0010942502138344,56,UP/DOWN
67,LSTM,0.6909649968147278,0.532626427406199,0.3475252794039383,170,1,7,32,0.0111373264446529,16,UP/DOWN
68,LSTM,0.692209005355835,0.532626427406199,0.3475252794039383,184,2,7,64,0.0346898863161806,200,UP/DOWN
69,LSTM,0.6912784576416016,0.5307629204265791,0.3719392681626241,94,1,14,256,0.0523140450685456,100,UP/DOWN
70,LSTM,0.6936437487602234,0.5321782178217822,0.3473344103392569,111,1,21,128,0.0789617217225167,87,UP/DOWN
71,LSTM,0.6919143795967102,0.5187601957585645,0.474446721013703,242,3,7,256,0.00038631455033,34,UP/DOWN
72,LSTM,0.6979226469993591,0.5187601957585645,0.4476111055109066,217,3,7,256,0.0082233919425617,34,UP/DOWN
73,LSTM,0.6909897923469543,0.532626427406199,0.3475252794039383,206,3,7,256,0.0001893786731684,25,UP/DOWN
74,LSTM,0.6992383599281311,0.5277324632952691,0.3835006474574593,219,3,7,256,0.0010964379928222,42,UP/DOWN
75,LSTM,0.6913051009178162,0.532626427406199,0.3475252794039383,198,3,7,256,0.0004098191687674,70,UP/DOWN
76,LSTM,0.69101482629776,0.532953620829943,0.3476645435244161,127,3,4,128,0.0211253487063693,33,UP/DOWN
77,LSTM,0.7046329975128174,0.5211618257261411,0.466408652455164,165,1,28,256,0.0013113576425162,27,UP/DOWN
78,LSTM,0.6912999749183655,0.532626427406199,0.3475252794039383,191,3,7,128,0.0005273172398344,10,UP/DOWN
79,LSTM,0.6915512084960938,0.533442088091354,0.3745076492750314,153,1,7,256,0.0025259972220388,126,UP/DOWN
80,LSTM,0.695674479007721,0.490566037735849,0.4855809579079631,260,1,14,128,0.0393669435442289,81,UP/DOWN
81,LSTM,0.6904982924461365,0.5321782178217822,0.3473344103392569,187,1,21,256,0.0069309052980338,12,UP/DOWN
82,LSTM,0.6904340386390686,0.5297029702970297,0.3743116740088105,175,1,21,256,0.0064347035448215,18,UP/DOWN
83,LSTM,0.6915594935417175,0.5321782178217822,0.3473344103392569,175,1,21,256,0.0154380016774508,17,UP/DOWN
84,LSTM,0.6948422789573669,0.5305280528052805,0.35897157039082,227,1,21,256,0.0040897945382265,24,UP/DOWN
85,LSTM,0.7045214772224426,0.5321782178217822,0.3473344103392569,144,1,21,256,0.0111942879699401,36,UP/DOWN
86,LSTM,0.6916216611862183,0.5272579332790887,0.3881564121349219,137,1,4,256,0.005304312931677,21,UP/DOWN
87,LSTM,0.6910287141799927,0.532626427406199,0.3475252794039383,157,1,7,32,0.0097107635440267,44,UP/DOWN
88,LSTM,0.6945527791976929,0.534257748776509,0.3605455101826436,165,1,7,64,0.0130170086713741,62,UP/DOWN
89,LSTM,0.6941019296646118,0.5291222313371616,0.5068603405502932,198,3,14,128,0.0002196443008839,109,UP/DOWN
90,LSTM,0.6934582591056824,0.5269168026101142,0.4540116034435629,210,1,7,256,0.0182583933857752,30,UP/DOWN
91,LSTM,0.6908164620399475,0.5321782178217822,0.3473344103392569,182,1,21,256,0.0070842295952857,17,UP/DOWN
92,LSTM,0.6923522353172302,0.5247524752475248,0.3718286033077186,173,1,21,256,0.0061631045031506,11,UP/DOWN
93,LSTM,0.6919063329696655,0.5165016501650165,0.3911135039487536,202,1,21,256,0.0045081203520712,14,UP/DOWN
94,LSTM,0.6940807104110718,0.5272277227722773,0.3498967943047306,193,1,21,256,0.0079388374021279,23,UP/DOWN
95,LSTM,0.6916521191596985,0.5107260726072608,0.4636699916347216,185,1,21,256,0.0253601675148997,93,UP/DOWN
96,LSTM,0.6910608410835266,0.532953620829943,0.3476645435244161,222,1,4,128,0.0333455606995657,52,UP/DOWN
97,LSTM,0.6912771463394165,0.5319502074688797,0.347237269772481,214,1,28,256,0.0147898566422894,29,UP/DOWN
98,LSTM,0.6936215162277222,0.5375203915171288,0.388644836511291,150,1,7,128,0.0035693329922913,156,UP/DOWN
99,LSTM,0.691070556640625,0.5324036095159967,0.3474304068522484,168,2,14,256,0.0213174789591873,100,UP/DOWN
0,LSTM,0.5743016004562378,0.7396257119609438,0.4251637043966323,259,2,4,128,0.0002007757635626,150,MIN
1,LSTM,0.5782707929611206,0.7399507793273175,0.4252710985384252,225,1,14,64,0.0016526375157713,147,MIN
2,LSTM,0.5736280083656311,0.7398042414355628,0.4252226910454758,209,3,7,64,0.0287742167475992,143,MIN
3,LSTM,0.5745797753334045,0.7399507793273175,0.4252710985384252,169,2,14,32,0.0017599972031557,38,MIN
4,LSTM,0.5729592442512512,0.7402489626556017,0.4253695755841679,114,1,28,128,0.0260996056872611,140,MIN
5,LSTM,0.573006272315979,0.7400990099009901,0.4253200568990042,258,2,21,256,0.0386014673587772,62,MIN
6,LSTM,0.5729417204856873,0.7402489626556017,0.4253695755841679,152,1,28,256,0.002742230746316,118,MIN
7,LSTM,0.5731616020202637,0.7399507793273175,0.4252710985384252,168,1,14,32,0.0199391433651902,62,MIN
