trial,model,rmse,mae,r2,n_estimators,max_depth,min_samples_split,min_samples_leaf,sequence_length
58,RF,-1681.4497771291808,1233.8285714524538,-0.01231892080071506,115,7,3,4,4
59,RF,-1906.7985846281797,1447.574571349126,-0.3018447496638419,175,4,5,4,4
60,RF,-1691.0651006678388,1245.1567109441044,-0.02840279577228344,100,8,10,3,14
61,RF,-1675.1760173232171,1228.2920796441974,-0.0047787641391336955,283,10,9,4,4
62,RF,-1675.2366711324632,1228.221427071399,-0.004851526358949032,154,15,8,4,4
63,RF,-1663.8878882644126,1217.5476094538367,0.008716961828406866,126,6,6,4,4
64,RF,-1664.534147992741,1217.9934555069967,0.007946776863199001,130,6,6,4,4
65,RF,-1661.513875893468,1215.533633751983,0.01154364188453827,126,6,6,4,4
66,RF,-1711.953898428031,1268.1965013391937,-0.06277398137902046,133,6,6,4,28
67,RF,-1755.1463035287738,1296.409045742517,-0.10300175038066484,125,5,6,4,4
68,RF,-2191.360641339856,1742.5603280016728,-0.7194013695396162,157,3,6,4,4
69,RF,-1671.889912292684,1225.3766608763885,-0.0024612483986088396,137,6,7,1,7
70,RF,-1765.1702524655873,1305.6134741382054,-0.11563660118161767,181,5,5,4,4
71,RF,-1666.1979546853456,1220.5252342294507,0.0059625463494749065,113,7,7,4,4
72,RF,-1907.6904438500417,1447.2043723381375,-0.30306284766775904,124,4,6,4,4
73,RF,-1667.4929529688902,1221.059000550938,0.0044167791857464556,112,7,5,4,4
74,RF,-1669.2054789935062,1222.2893292279605,0.0023707883156117715,150,6,7,4,4
75,RF,-1674.1819540523088,1227.1363526267949,-0.0035866299366873466,194,8,5,4,4
76,RF,-1758.1639808428386,1299.5287074842531,-0.10679786099796917,162,5,6,4,4
77,RF,-1712.4194178160133,1265.8486567133402,-0.05966673909251208,141,7,6,2,21
78,RF,-1674.1109163503409,1227.5125196408253,-0.0035014647905362573,218,9,7,4,4
79,RF,-1674.3719875447814,1230.1133182062229,-0.008199537871027562,120,6,4,3,14
80,RF,-1907.1890665403112,1447.9827691413147,-0.3023779983057311,171,4,6,4,4
81,RF,-1672.6851184100708,1225.6814138486627,-0.001792879028843286,107,7,7,4,4
82,RF,-1666.3916121844802,1220.2882653971035,0.005731464569776024,100,7,5,4,4
83,RF,-1670.7228491347867,1224.4825114801827,0.0005561994768586986,131,8,5,4,4
84,RF,-1763.278134487034,1304.0731865393184,-0.11324614088115892,116,5,5,4,4
85,RF,-1704.2660532407801,1261.39460993047,-0.053250247817890894,143,6,5,4,28
86,RF,-1675.9625570372707,1228.8365271125372,-0.005722526378710402,466,7,4,4,4
87,RF,-1676.5956543882585,1230.5135697220605,-0.008112293732066567,100,9,6,4,7
88,RF,-1670.436982798,1224.3483061145175,0.0008981866538235739,127,11,2,4,4
89,RF,-1665.9461483984442,1219.3803083232658,0.006262973997605337,192,6,4,3,4
90,RF,-1667.6982883374958,1220.683928975432,0.0041715715116315,198,6,4,3,4
91,RF,-1759.5849186289656,1300.3847960230912,-0.1085875989737295,224,5,4,3,4
92,RF,-1670.9014401138813,1223.5402986292688,0.00034251809115171117,185,6,3,2,4
93,RF,-1687.9933129168278,1238.901739957354,-0.020213339593415203,110,7,5,3,4
94,RF,-1669.562787320778,1223.457644044181,0.0019436397336020095,238,8,6,4,4
95,RF,-1667.8208544285708,1221.8256614060044,0.004025190977607451,159,20,4,4,4
96,RF,-1763.9116746082625,1304.078910134663,-0.1140462560584059,119,5,7,3,4
97,RF,-1700.4503390796547,1254.8967607302147,-0.04490527433398439,140,6,6,4,21
98,RF,-1675.863282995015,1228.6999009416684,-0.0056033838798101865,175,7,5,4,4
99,RF,-1763.0845312575407,1303.6350488557812,-0.1130016913962153,373,5,6,4,4
