trial,model,rmse,mae,r2,hidden_size,num_layers,sequence_length,batch_size,learning_rate,epochs
52,LSTM,913.216064453125,771.596,0.6975845694541931,106,1,28,64,0.0011059030732195,107
53,LSTM,768.2125854492188,613.8654,0.7859970927238464,91,1,28,64,0.0023811614687481,120
54,LSTM,575.5530395507812,432.8326,0.8798766136169434,50,1,28,64,0.0001648305662624,110
55,LSTM,999.4669189453124,775.18317,0.6407642364501953,64,1,14,64,0.0004306124957639,88
56,LSTM,453.7635803222656,367.41003,0.925335168838501,128,1,28,128,0.0005986701279049,99
57,LSTM,543.399169921875,470.44934,0.8942725658416748,118,1,4,32,0.0002474687427327,76
58,LSTM,597.6043701171875,487.77258,0.8719204664230347,109,2,7,64,0.0008035735897409,59
59,LSTM,1036.6134033203125,824.3752,0.6103358268737793,93,1,28,32,0.0021827465110177,36
60,LSTM,716.093505859375,556.7396,0.8140499591827393,85,1,28,128,0.0035301696242062,145
61,LSTM,882.4932250976562,677.732,0.7185690999031067,74,1,21,256,0.0017899776354992,129
62,LSTM,897.4666748046875,726.9104,0.7089378833770752,288,1,21,256,0.0089959513949588,133
63,LSTM,1048.50732421875,888.6636,0.6027243137359619,161,1,21,32,0.001267196233024,119
64,LSTM,671.4367065429688,532.25085,0.8378739356994629,111,1,14,256,0.0053514981332657,145
65,LSTM,546.2399291992188,451.05878,0.8931642770767212,97,1,4,128,0.0028755166671871,159
66,LSTM,965.6511840820312,831.7709,0.6630312204360962,271,1,21,64,0.0014421825252539,138
67,LSTM,834.896728515625,661.1179,0.7500127553939819,232,2,7,256,0.0006151815484153,93
68,LSTM,1489.11376953125,1132.6439,0.1986821889877319,184,1,21,32,0.0020856805676644,125
69,LSTM,771.7758178710938,616.2524,0.78400719165802,152,1,28,128,0.0001588011651221,187
70,LSTM,1821.025146484375,1493.5359,-0.1983425617218017,286,3,21,256,0.0009547733623537,115
71,LSTM,484.0976867675781,390.42496,0.9159537553787231,276,1,7,256,0.0004662314709591,171
72,LSTM,906.9967041015624,721.4083,0.7049716711044312,296,1,7,256,0.0003669376078809,176
73,LSTM,493.7748718261719,400.73376,0.912559986114502,253,1,7,256,0.0005503486533319,157
74,LSTM,528.0126953125,435.1275,0.9000135660171509,284,1,7,256,0.0002802063638964,198
75,LSTM,642.5396118164062,519.8045,0.851935088634491,292,1,7,256,0.0002270317855215,173
76,LSTM,1184.5838623046875,1006.55414,0.4911514520645141,134,1,28,32,0.0016512348165897,190
77,LSTM,2212.412353515625,1820.5631,-0.7688100337982178,261,2,21,32,0.0278224246219539,152
78,LSTM,922.6376342773438,725.01263,0.6938706040382385,82,1,14,256,0.0007288046390216,166
79,LSTM,741.2681884765625,574.3338,0.8029379844665527,213,1,7,128,0.0001266886885378,147
80,LSTM,1149.359130859375,875.773,0.520963728427887,300,2,28,64,0.000335849238377,102
81,LSTM,730.7977905273438,606.4933,0.806334912776947,128,1,28,128,0.0005947218004613,80
82,LSTM,1135.858642578125,828.6503,0.5321512818336487,114,1,28,128,0.0004219845326997,96
83,LSTM,529.3953247070312,397.48917,0.8983711004257202,121,1,28,128,0.0010462562024416,66
84,LSTM,648.2335815429688,504.56888,0.847622811794281,139,1,28,128,0.0004970802153042,110
85,LSTM,1159.62939453125,961.14343,0.5140546560287476,274,1,21,32,0.0008710930886899,99
86,LSTM,1049.2713623046875,781.70825,0.6007614135742188,154,1,28,128,0.0001896331469158,87
87,LSTM,927.529541015625,806.455,0.691961407661438,129,1,4,32,0.0013935098400415,125
88,LSTM,617.1619262695312,489.8113,0.8618804812431335,291,2,28,256,0.0024851240561058,161
89,LSTM,395.2558288574219,294.31506,0.9435445666313172,98,1,21,64,0.000671479560144,46
90,LSTM,847.24560546875,656.6253,0.7406013607978821,92,2,21,64,0.00011422548365,27
91,LSTM,553.7530517578125,451.87067,0.8891894221305847,100,1,21,64,0.000717113733346,49
92,LSTM,771.496826171875,624.4656,0.7849113941192627,109,1,21,64,0.0006279227796704,41
93,LSTM,1145.2884521484375,843.6154,0.5259994864463806,75,1,21,64,0.0001517695688905,111
94,LSTM,1129.0992431640625,1009.6664,0.5393052697181702,197,1,21,64,0.0011491739849811,70
95,LSTM,887.391357421875,774.9549,0.7175883054733276,96,1,7,32,0.0008607958553382,61
96,LSTM,438.31744384765625,357.80273,0.930331826210022,295,1,28,128,0.0002577406750262,105
97,LSTM,522.4049072265625,383.42612,0.9013803005218506,296,1,21,256,0.0002470755314365,137
98,LSTM,841.0717163085938,730.52057,0.7434790134429932,283,1,28,32,0.0003141897118607,183
99,LSTM,1721.58642578125,1381.7737,-0.0658602714538574,59,1,14,64,0.0001968406384331,132
0,LSTM_DA,3140.5322265625,2778.940185546875,-2.5765421390533447,221,3,28,128,0.0079130000004516,29
1,LSTM_DA,2917.272705078125,2600.778564453125,-2.0472187995910645,68,1,4,256,0.0001543619331797,17
2,LSTM_DA,766.8783569335938,584.9944458007812,0.7885072231292725,284,2,14,64,0.0005933611914051,100
3,LSTM_DA,3091.7421875,2713.2294921875,-2.4281423091888428,68,3,7,128,0.0348469291170767,173
4,LSTM_DA,973.1905517578124,759.214111328125,0.660886287689209,116,3,4,64,0.0007486709263701,178
5,LSTM_DA,1524.465087890625,1249.2930908203125,0.1601842641830444,68,2,21,128,0.0002161040167146,99
6,LSTM_DA,584.4085083007812,475.8973388671875,0.8777123093605042,52,1,4,128,0.0007387190711497,85
7,LSTM_DA,2597.084228515625,2212.704833984375,-1.418935775756836,154,3,7,64,0.0070403620411109,185
8,LSTM_DA,559.354736328125,428.6720581054688,0.8877912163734436,290,1,7,64,0.0001987604482341,89
9,LSTM_DA,920.6434326171876,729.56005859375,0.6960268616676331,192,1,7,128,0.0064721268526788,86
10,LSTM_DA,3064.019775390625,2697.181640625,-2.404395341873169,298,2,28,32,0.0579685706513773,142
11,LSTM_DA,609.9042358398438,506.4321594238281,0.866809606552124,239,1,4,256,0.000896543349413,64
12,LSTM_DA,698.9620361328125,513.0946655273438,0.8234546780586243,130,1,21,32,0.0001106743673642,131
13,LSTM_DA,902.1513671875,731.4447021484375,0.7073143124580383,252,1,14,64,0.0017610614114592,56
